id,temperature,humidity,moisture,light,should_light
190,22.4,44.1,0.82,0.45,1
191,19.7,43.3,0.8,0.24,1
192,34.1,73.5,0.69,0.07,0
193,34.2,45.9,0.27,0.17,1
194,29.4,55.7,0.59,0.52,0
195,24.1,88.8,0.36,0.34,1
196,24.3,63.4,0.09,0.83,0
197,31.1,75.1,0.92,0.43,0
198,34.1,45.3,0.14,0.25,0
199,34.0,46.5,0.95,0.62,0
200,32.0,37.5,0.45,0.71,0
201,29.6,45.1,0.19,0.17,1
202,19.5,51.7,0.54,0.17,1
203,20.9,45.6,0.87,0.04,1
204,34.2,40.3,0.73,0.74,0
205,28.9,42.2,0.81,0.66,0
206,18.2,62.6,0.66,0.47,1
207,19.8,47.4,0.69,0.84,1
208,29.9,56.9,0.85,0.81,0
209,18.1,65.2,0.25,0.59,1
210,20.9,76.4,0.49,0.87,1
211,27.9,37.4,0.22,0.21,1
212,30.5,83.0,0.99,0.11,0
213,29.7,72.7,0.94,0.27,1
214,22.0,39.9,0.04,0.06,1
215,30.8,87.4,0.71,0.53,0
216,22.3,90.3,0.93,0.94,1
217,23.9,38.7,0.18,0.04,1
218,31.4,51.6,0.57,0.12,1
219,29.7,83.4,0.92,0.45,0
220,33.3,79.9,0.03,0.93,0
221,29.8,46.1,0.7,0.32,0
222,28.2,47.6,0.3,0.51,0
223,19.7,57.2,0.92,0.04,1
224,24.6,64.1,0.97,0.15,1
225,22.8,72.1,0.94,0.99,1
226,22.4,57.1,0.47,0.97,1
227,35.5,62.8,0.86,0.0,0
228,25.1,79.8,0.84,0.95,0
229,34.1,37.2,0.32,0.64,0
230,29.4,50.1,0.83,0.87,0
231,32.3,77.8,0.04,0.45,0
232,27.0,88.7,0.6,0.52,1
233,28.4,65.7,0.23,0.49,0
234,26.9,66.9,0.12,0.67,0
235,21.5,41.4,0.08,0.14,1
236,31.0,61.8,0.7,0.03,1
237,23.1,67.0,0.34,0.31,1
238,18.4,49.5,0.72,0.7,1
239,29.6,51.2,0.07,0.2,1
240,21.2,57.6,0.32,0.67,1
241,34.9,36.2,0.54,0.97,0
242,35.2,54.3,0.79,0.09,0
243,34.5,47.7,0.32,0.67,0
244,24.7,54.6,0.63,0.44,1
245,18.3,42.2,0.89,0.87,1
246,34.7,88.4,0.62,0.18,0
247,25.7,70.6,0.23,0.69,0
248,35.4,75.7,0.02,0.84,0
249,35.3,82.4,0.87,0.94,0
250,33.4,64.9,0.02,0.68,0
251,23.3,40.2,0.87,0.5,1
252,24.9,67.2,0.53,0.62,0
253,33.3,70.2,0.94,0.87,0
254,23.7,79.7,0.8,0.57,1
255,21.1,60.9,1.0,0.03,1
256,28.0,42.7,0.35,0.93,0
257,34.9,52.0,0.77,0.69,0
258,30.5,56.8,0.4,0.68,0
259,28.3,73.8,0.48,0.22,1
260,19.7,69.2,0.63,0.66,1
261,29.1,56.4,0.87,0.39,0
262,35.8,94.2,0.98,0.65,0
263,20.5,71.3,0.77,0.11,1
264,27.3,49.2,0.42,0.66,0
265,33.8,41.1,0.42,1.0,0
266,31.3,44.2,0.74,0.05,1
267,30.5,49.8,0.24,0.98,0
268,30.6,44.6,0.11,0.41,0
269,24.5,46.2,0.35,0.87,0
270,23.3,52.1,0.29,0.78,1
271,32.6,45.4,0.3,0.57,0
272,32.6,88.8,0.23,0.74,0
273,33.6,39.8,0.04,0.88,0
274,34.4,66.5,0.02,0.4,0
275,27.2,59.6,0.99,0.33,1
276,27.0,93.9,0.43,0.67,0
277,32.4,41.7,0.38,0.81,0
278,29.7,58.9,0.68,0.76,0
279,30.6,93.2,0.22,0.8,0
280,32.3,86.9,0.95,0.44,0
281,34.0,84.0,0.79,0.82,0
282,24.1,50.5,0.09,0.12,1
283,24.8,45.3,0.42,0.54,1
284,19.7,75.1,0.88,0.01,1
285,28.4,90.8,0.94,0.32,0
286,18.6,68.4,0.47,0.37,1
287,26.4,69.3,0.61,0.4,1
288,27.8,51.8,0.17,0.7,0
289,23.2,81.2,0.99,0.39,1
290,28.6,46.2,0.23,0.45,0
291,18.5,54.4,0.94,0.24,1
292,18.7,60.5,0.65,0.37,1
293,32.8,65.5,0.61,0.23,0
294,24.5,49.5,0.51,0.07,1
295,20.3,41.9,0.23,0.6,1
296,27.4,71.6,0.18,0.67,0
297,31.9,52.3,0.22,0.62,0
298,21.9,69.9,0.19,0.46,1
299,29.2,44.3,0.78,0.38,0
300,19.5,63.9,0.35,0.86,1
301,18.9,67.0,0.06,0.52,1
302,27.6,38.1,0.97,0.48,1
303,27.7,55.2,0.88,0.03,1
304,29.5,43.1,0.93,0.34,0
305,31.1,38.8,0.99,0.38,0
306,35.6,94.4,0.17,0.4,0
307,27.3,54.3,0.4,0.58,1
308,23.8,83.6,0.76,0.53,1
309,32.3,50.3,0.7,0.61,0
310,22.9,75.9,0.15,0.76,1
311,25.9,80.6,0.82,0.81,0
312,19.4,70.7,0.22,0.72,1
313,18.5,63.3,0.22,0.96,1
314,35.3,59.7,0.54,0.02,0
315,33.0,55.9,0.59,0.2,0
316,30.5,90.8,0.58,0.01,0
317,25.4,84.8,0.09,0.65,0
318,21.1,92.9,0.88,0.9,1
319,20.8,42.5,0.27,0.24,1
320,22.5,78.9,0.13,0.93,1
321,27.9,91.3,0.89,0.06,1
322,30.9,45.9,0.96,0.93,0
323,29.9,39.0,0.86,0.35,0
324,23.0,79.5,0.81,0.1,1
325,35.2,69.5,0.66,0.49,0
326,31.3,85.5,0.55,0.26,0
327,28.0,43.4,0.09,0.28,1
328,29.0,82.7,0.41,0.31,0
329,25.6,47.1,0.37,0.8,0
330,22.5,44.8,0.26,0.54,1
331,24.4,44.9,0.72,0.31,1
332,31.6,83.9,0.5,0.61,0
333,18.3,74.9,0.08,0.72,1
334,20.1,66.4,0.22,0.27,1
335,18.8,56.5,0.68,0.41,1
336,18.7,87.6,0.08,0.12,1
337,33.4,58.5,0.85,0.18,0
338,30.7,84.0,0.5,0.68,0
339,26.5,61.3,0.48,0.18,1
340,19.8,57.6,0.59,0.53,1
341,26.8,62.8,0.82,0.71,0
342,26.5,53.1,0.35,0.11,1
343,21.1,79.9,0.68,0.57,1
344,25.8,65.2,0.57,0.26,1
345,25.2,48.9,0.27,0.96,0
346,29.1,89.0,0.88,0.48,0
347,29.4,58.0,0.8,0.81,0
348,18.8,67.6,0.66,0.55,1
349,24.7,89.4,0.85,0.04,1
350,29.3,72.5,0.87,0.63,0
351,27.1,42.0,0.71,0.95,0
352,33.4,91.4,0.84,0.6,0
353,29.9,72.7,0.7,0.82,0
354,20.9,55.1,0.68,0.88,1
355,19.3,43.4,0.62,0.23,1
356,29.6,82.6,0.75,0.21,0
357,18.5,72.2,0.16,0.61,1
358,28.5,67.0,0.88,0.41,0
359,34.9,88.6,0.87,0.84,0
360,28.4,82.3,0.03,0.9,0
361,25.0,44.1,0.83,0.35,1
362,29.6,53.7,0.13,0.24,1
363,26.2,49.9,0.34,0.78,0
364,27.8,79.6,0.74,0.27,1
365,34.9,37.0,0.16,0.82,0
366,24.9,69.2,0.82,0.42,1
367,35.3,80.7,0.83,0.67,0
368,34.3,87.6,0.51,0.1,0
369,21.5,55.5,0.01,0.62,1
370,19.2,84.3,0.29,0.45,1
371,19.8,41.6,0.62,0.59,1
372,18.3,85.8,0.98,0.17,1
373,19.7,42.6,0.63,0.74,1
374,30.3,58.8,0.26,0.86,0
375,19.3,82.8,0.63,0.22,1
376,23.7,44.0,0.54,0.1,1
377,33.2,48.8,0.78,0.02,0
378,18.4,78.3,0.11,0.64,1
379,32.7,78.2,0.76,0.61,0
380,23.1,73.5,0.54,0.55,1
381,20.1,76.6,0.96,0.23,1
382,30.5,67.6,0.34,0.39,0
383,29.3,50.1,0.63,0.59,0
384,33.8,55.7,0.93,0.5,0
385,31.2,45.9,0.1,0.99,0
386,32.5,89.5,0.94,0.14,0
387,23.1,70.0,0.69,0.7,1
388,21.2,59.1,0.07,0.4,1
389,31.5,62.7,0.3,0.43,0
390,32.5,91.8,0.71,0.72,0
391,35.8,44.2,0.07,0.69,0
392,25.4,70.2,0.58,0.99,0
393,24.7,65.4,0.35,0.13,1
394,32.0,71.7,0.62,0.1,1
395,24.1,36.1,0.05,0.72,0
396,34.8,87.3,0.87,0.58,0
397,33.5,90.9,0.97,0.27,0
398,25.7,68.9,0.97,0.08,1
399,31.5,76.8,0.75,0.09,1
400,31.6,90.3,0.13,0.89,0
